
  Multi-Metric Occurrence Comparison Report
  =========================================

──────────────────────────────────────────────────────────────────────────────
  METRIC LEGEND:
    EXACT    = Normalized exact token match (current method)
    PREFIX   = Safe prefix-aware (و,ف,ب,ل,ك,س + exact form)
    ARTICLE  = Definite article variants (with/without ال)
    FAMILY   = Root-family sum (all vocab words sharing same root)
    LEMMA    = Quranic Arabic Corpus lemma count (external reference)
    OLD      = Manually stored occ value (currently in vocabulary)
──────────────────────────────────────────────────────────────────────────────

  Top 200 entries (sorted by old occ descending):

  #  Word                       Old   Exact  P+Ex  Art+Ex Family Lemma  Best
  ──────────────────────────────────────────────────────────────────────────────
  106 فِرْعَوْنَ           74    65    72    65    65   —  exac
  107 فِرْعَوْنَ           74    65    72    65    65   —  exac
  108 فِرْعَوْنَ           74    65    72    65    65   —  exac
  109 الْعَالَمِينَ        73    61    61    61   240   —  exac
  110 لِلْعَالَمِينَ       73    13    13    13   240   —  exac
  111 الْمُرْسَلِينَ       72    24    24    24   131   —  exac
  112 سَأَلَ               72     1     1     1     2   —  exac
  113 فَضْلِهِ             71    28    29    28    28   —  exac
  114 الْقُرْآنِ           70     0     0     0     —   —  exac
  115 الْقُرْآنَ           70     0     0     0     3   —  exac
  116 الْقِيَامَةِ         70    70    70    70    85   —  exac
  117 إِبْرَاهِيمَ         69    43    50    43    43   —  exac
  118 إِبْرَاهِيمُ         69    43    50    43    43   —  exac
  119 ظَنَّ                68     8    12     8     8   —  exac
  120 الْحَيَاةِ           68     0     0     0    17   —  exac
  121 يَعْبُدُونَ          68     9    14     9    31   —  exac
  122 أَحَدٌ               67    30    51    30    30   —  exac
  123 الْمَلِكِ            67    28    31    28    28   —  exac
  124 الصَّلَاةَ           67     0     0     0     1   —  exac
  125 الْجَنَّةَ           66    56    57    74    99   —  exac
  126 يُكَذِّبُ            66     5     5     5     5   —  exac
  127 الْإِنسَانِ          65    58    58    58    58   —  exac
  128 شُكْر                64     2     2     2     9   —  exac
  129 الذِّكْرَ            62    19    21    19    34   —  exac
  130 الذِّكْرُ            62    19    21    19    34   —  exac
  131 الصَّالِحَاتِ        62    61    62    61    84   —  exac
  132 اشْكُرْ              62     4     4     4     9   —  exac
  133 صَالِحِينَ           62     4     8    23    84   —  exac
  134 الْفِتْنَةِ          60     6     8     6     6   —  exac
  135 الصَّالِحَاتِ        58    61    62    61    84   —  exac
  136 الذِّكْرِ            58    19    21    19    34   —  exac
  137 الشُّهَدَاءِ         58     2     6     2    18   —  exac
  138 نِسَاءَ              58     4    10     4     4   —  exac
  139 الرَّحْمَٰنِ         57    45    48    45   120   —  exac
  140 الرَّحْمَٰنُ         57    45    48    45   120   —  exac
  141 الرَّحْمَٰنُ         57    45    48    45   120   —  exac
  142 لَيْلَةِ             55     8     8     8     8   —  exac
  143 الْمَوْتَ            55    35    35    35    38   —  exac
  144 الْعَظِيمِ           55    36    36    36    36   —  exac
  145 النَّهْرِ            54     0     0     0    43   —  exac
  146 الْأَنْهَارِ         54    43    43    43    43   —  exac
  147 قَدِيرٌ              54    37    38    37    41   —  exac
  148 قَلِيلًا             54    55    56    55    55   —  exac
  149 الْغَيْبِ            53    28    40    28    28   —  exac
  150 الْمُلْكِ            52    28    31    28    28   —  exac
  151 سَمِيعٌ              51    21    24    21    36   —  exac
  152 بَصِيرٌ              51    27    32    27    37   —  exac
  153 شَرّ                 50    15    40    15    15   —  exac
  154 نُور                 49     8    14    18   120   —  exac
  155 الْكُفَّارُ          49    13    15    13    33   —  exac
  156 بِالْحَقِّ           48    74    76    74   220   —  exac
  157 السَّاعَةَ           48    35    39    35    35   —  exac
  158 يَخْشَىٰ             48     5     5     5     8   —  exac
  159 فَاصْبِرْ            48    10    10    10    22   —  exac
  160 الْغَيْبُ            48    28    40    28    28   —  exac
  161 السَّاعَةُ           48    35    39    35    35   —  exac
  162 خَشِيَ               48     3     4     3     8   —  exac
  163 حَقَّ                47    34   127   143   220   242 fami
  164 أَحْسَنُ             47    32    44    32    80   —  exac
  165 أَعْبُدُ             46    13    16    13    31   —  exac
  166 شَدِيدِ              46    35    39    35    35   —  exac
  167 الصِّرَاطَ           45     6     6     6     6   —  exac
  168 قَدِيرٌ              45    37    38    37    41   —  exac
  169 الْخَبِيرُ           45     6     6     6     9   —  exac
  170 لَخَبِيرٌ            45     2     2     2     9   —  exac
  171 الصِّرَاطَ           45     6     6     6     6   —  exac
  172 ذَنْب                44     2     2     2     6   —  exac
  173 نُوحًا               43     7    10     7     7   —  exac
  174 نِعْمَةَ             43    17    24    17    51   —  exac
  175 النُّورِ             43    10    13    18   120   —  exac
  176 نُوحًا               43     7    10     7     7   —  exac
  177 السَّلَامُ           42     5     7    24    42   —  exac
  178 سَلَامًا             42     7     9     7    42   —  exac
  179 الصِّرَاطِ           42     6     6     6     6   —  exac
  180 السَّلَامُ           42     5     7    24    42   —  exac
  181 سُبْحَانَ            41    13    18    13    17   —  exac
  182 تَوَكَّلْ            41     0     9     0    10   —  pref
  183 أَجْرًا              41    22    28    22    22   —  exac
  184 الْكَافِرُونَ        40    17    20    17    33   —  exac
  185 أَفْلَحَ             40     4     4     4     4   —  exac
  186 أَصْلَحَ             39     0     9     0    84   —  pref
  187 فَاتَّقُوا           39    17    17    17    75   —  exac
  188 الْحَمْدُ            38    26    28    26    40   —  exac
  189 الْجِبَالُ           38    24    31    24    24   —  exac
  190 الْمُتَّقِينَ        38    23    25    23    75   —  exac
  191 الشِّرْكَ            38     1     1     1     1   —  exac
  192 الْغِلَامِ           37     1     1     1     1   —  exac
  193 الْمَعْرُوفِ         37     1    21     1     4   —  exac
  194 الْمُنَافِقِينَ      37    15    19    15    22   —  exac
  195 أَنزَلْنَاهُ         37    14    14    14    27   —  exac
  196 يَقِينًا             36     1     1     1     1   —  exac
  197 التَّقْوَىٰ          36     6     9     6    75   —  exac
  198 جِهَادِ              36     0     1     0     5   —  pref
  199 إِثْمٍ               35     7    14     7     7   —  exac
  200 مَغْفِرَةً           35    17    26    17    74   —  exac

──────────────────────────────────────────────────────────────────────────────
  SUMMARY
──────────────────────────────────────────────────────────────────────────────

  Metric                   Total Count    vs Old    vs Reference
  ────────────────────────────────────────────────────────────
  Old (stored)                    59811      —%      251%
  Exact (current method)         23502     39%      99%
  Prefix+Exact                   30526     51%      128%
  Article+Exact                  24326     41%      102%
  Root Family                    37929     63%      159%
  Reference (Corpus lemma)        23824      —%      —%

  Reference matching (21 words found in external reference):
    Exact match is closest:                    2/21 (10%)
    Prefix+Exact is closest:                  14/21 (67%)
    Article+Exact is closest:                  0/21 (0%)
    Root Family is closest:                    5/21 (24%)

──────────────────────────────────────────────────────────────────────────────
  DETAILED COMPARISON — Words with Reference Data

  Word                Old   Exact  P+Ex   Ref Lemma  BestMetric  Error%
  ──────────────────────────────────────────────────────────────────────
  لَا                6000   812  1663   1691    prefix   2%
  مَا                4580  1010  2169   1266    family   3%
  مِنْ               3220  2763  3309   4016    prefix   18%
  اللَّهُ            2699  2153  2538   2699    prefix   6%
  فِي                2470  1185  1250   1701    prefix   27%
  فِي                2470  1185  1250   1701    prefix   27%
  مَنْ               1800  2763  3309   4016    prefix   18%
